,movie_id,prd_company
0,tt4154796,Walt Disney Studios Motion Pictures
1,tt1298650,Walt Disney Studios Motion Pictures
2,tt2395427,Walt Disney Studios Motion Pictures
3,tt4154756,Walt Disney Studios Motion Pictures
4,tt0449088,Buena Vista Pictures
5,tt0974015,Warner Bros.
6,tt2379713,Columbia Pictures
7,tt3778644,Walt Disney Studios Motion Pictures
8,tt0401729,Walt Disney Studios Motion Pictures
9,tt2975590,Warner Bros.
10,tt6105098,Walt Disney Studios Motion Pictures
11,tt0398286,Walt Disney Studios Motion Pictures
12,tt0413300,Columbia Pictures
13,tt3498820,Walt Disney Studios Motion Pictures
14,tt0417741,Warner Bros.
15,tt1170358,Fathom Events
16,tt2310332,Fathom Events
17,tt4630562,Universal Pictures
18,tt2382320,United Artists Releasing
19,tt0499549,Twentieth Century Fox
20,tt0348150,Warner Bros.
21,tt1345836,Warner Bros.
22,tt1790809,Walt Disney Studios Motion Pictures
23,tt0830515,Columbia Pictures
24,tt0848228,Walt Disney Studios Motion Pictures
25,tt0383574,Buena Vista Pictures
26,tt0770828,Warner Bros.
27,tt0499448,Walt Disney Studios Motion Pictures
28,tt1210819,Walt Disney Studios Motion Pictures
29,tt6723592,Warner Bros.
30,tt0948470,Columbia Pictures
31,tt1440129,Universal Pictures
32,tt3371366,Paramount Pictures
33,tt0369610,Universal Pictures
34,tt1409024,Columbia Pictures
35,tt1055369,Paramount Pictures
36,tt2109248,Paramount Pictures
37,tt0376994,Twentieth Century Fox
38,tt0955308,Universal Pictures
39,tt0360717,Universal Pictures
40,tt0385752,New Line Cinema
41,tt1825683,Walt Disney Studios Motion Pictures
42,tt0120338,Paramount Pictures
43,tt3606756,Walt Disney Studios Motion Pictures
44,tt3748528,Walt Disney Studios Motion Pictures
45,tt2277860,Walt Disney Studios Motion Pictures
46,tt1979376,Walt Disney Studios Motion Pictures
47,tt0435761,Walt Disney Studios Motion Pictures
48,tt1300854,Walt Disney Studios Motion Pictures
49,tt3896198,Walt Disney Studios Motion Pictures
50,tt0316654,Columbia Pictures
51,tt1014759,Walt Disney Studios Motion Pictures
52,tt1074638,Columbia Pictures
53,tt0903624,Fathom Events
54,tt1453405,Walt Disney Studios Motion Pictures
55,tt1623205,Walt Disney Studios Motion Pictures
56,tt1877832,Twentieth Century Fox
57,tt1872181,Columbia Pictures
58,tt1216475,Walt Disney Studios Motion Pictures
59,tt6806448,Universal Pictures
60,tt1104001,Walt Disney Studios Motion Pictures
61,tt1190080,Columbia Pictures
62,tt4123430,Warner Bros.
63,tt0438488,Warner Bros.
64,tt1133985,Warner Bros.
65,tt6565702,Twentieth Century Fox
66,tt1399103,Paramount Pictures
67,tt2345759,Universal Pictures
68,tt1351685,Warner Bros.
69,tt2820852,Universal Pictures
70,tt1408101,Paramount Pictures
71,tt0816711,Paramount Pictures
72,tt1343092,Warner Bros.
73,tt1663662,Warner Bros.
74,tt1979388,Walt Disney Studios Motion Pictures
75,tt0371746,Paramount Pictures
76,tt0468569,Warner Bros.
77,tt0367882,Paramount Pictures
78,tt1217209,Walt Disney Studios Motion Pictures
79,tt3731562,Warner Bros.
80,tt2660888,Paramount Pictures
81,tt4777008,Walt Disney Studios Motion Pictures
82,tt1856101,Warner Bros.
83,tt6450804,Paramount Pictures
84,tt6139732,Walt Disney Studios Motion Pictures
85,tt3501632,Walt Disney Studios Motion Pictures
86,tt1587310,Walt Disney Studios Motion Pictures
87,tt3183660,Warner Bros.
88,tt0910970,Walt Disney Studios Motion Pictures
89,tt0293564,New Line Cinema
90,tt0918940,Warner Bros.
91,tt0970179,Paramount Pictures
92,tt2239822,STX Entertainment
93,tt1617661,Warner Bros.
94,tt4912910,Paramount Pictures
95,tt3385516,Twentieth Century Fox
96,tt4779682,Warner Bros.
97,tt1631867,Warner Bros.
98,tt4154664,Walt Disney Studios Motion Pictures
99,tt3040964,Walt Disney Studios Motion Pictures
100,tt2096673,Walt Disney Studios Motion Pictures
101,tt2250912,Columbia Pictures
102,tt1386697,Warner Bros.
103,tt1049413,Walt Disney Studios Motion Pictures
104,tt2380307,Walt Disney Studios Motion Pictures
105,tt5848272,Walt Disney Studios Motion Pictures
106,tt0892782,Paramount Pictures
107,tt3606752,Walt Disney Studios Motion Pictures
108,tt1046173,Paramount Pictures
109,tt0120891,Warner Bros.
110,tt0859163,Universal Pictures
111,tt0413099,Universal Pictures
112,tt0114898,Universal Pictures
113,tt6673612,Universal Pictures
114,tt1972591,Warner Bros.
115,tt1335975,Universal Pictures
116,tt4881806,Universal Pictures
117,tt2015381,Walt Disney Studios Motion Pictures
118,tt1228705,Paramount Pictures
119,tt1843866,Walt Disney Studios Motion Pictures
120,tt2103281,Twentieth Century Fox
121,tt0338348,Warner Bros.
122,tt1735898,Universal Pictures
123,tt0181852,Warner Bros.
124,tt0338526,Universal Pictures
125,tt3861390,Walt Disney Studios Motion Pictures
126,tt3741700,Warner Bros.
127,tt1964418,Walt Disney Studios Motion Pictures
128,tt0437086,Twentieth Century Fox
129,tt2567026,Walt Disney Studios Motion Pictures
130,tt0892791,Paramount Pictures
131,tt1211837,Walt Disney Studios Motion Pictures
132,tt2245084,Walt Disney Studios Motion Pictures
133,tt0892769,Paramount Pictures
134,tt1772341,Walt Disney Studios Motion Pictures
135,tt0816692,Paramount Pictures
136,tt1628841,Twentieth Century Fox
137,tt2771200,Walt Disney Studios Motion Pictures
138,tt6320628,Columbia Pictures
139,tt1477834,Warner Bros.
140,tt0413267,Paramount Pictures
141,tt1375666,Warner Bros.
142,tt1951266,Lionsgate
143,tt0831387,Warner Bros.
144,tt1270798,Twentieth Century Fox
145,tt0421715,Paramount Pictures
146,tt0963966,Walt Disney Studios Motion Pictures
147,tt0409182,Warner Bros.
148,tt0803096,Universal Pictures
149,tt1302006,Netflix
150,tt1860357,Lionsgate
151,tt1340138,Paramount Pictures
152,tt2557478,Universal Pictures
153,tt0346491,Warner Bros.
154,tt3450958,Twentieth Century Fox
155,tt0213149,Buena Vista Pictures
156,tt0418279,Paramount Pictures
157,tt4520988,Walt Disney Studios Motion Pictures
158,tt0451279,Warner Bros.
159,tt2294629,Walt Disney Studios Motion Pictures
160,tt2948356,Walt Disney Studios Motion Pictures
161,tt0373889,Warner Bros.
162,tt0330373,Warner Bros.
163,tt0234215,Warner Bros.
164,tt0480249,Warner Bros.
165,tt3521164,Walt Disney Studios Motion Pictures
166,tt0448157,Columbia Pictures
167,tt0372784,Warner Bros.
168,tt0367594,Warner Bros.
169,tt0382932,Buena Vista Pictures
170,tt1981115,Walt Disney Studios Motion Pictures
171,tt2381249,Paramount Pictures
172,tt5013056,Warner Bros.
173,tt0800369,Paramount Pictures
174,tt0479952,Paramount Pictures
175,tt0458525,Twentieth Century Fox
176,tt1078912,Twentieth Century Fox
177,tt1302011,Paramount Pictures
178,tt1392190,Warner Bros.
179,tt5884052,Warner Bros.
180,tt0242653,Warner Bros.
181,tt1677720,Warner Bros.
182,tt0371606,Buena Vista Pictures
183,tt0317919,Paramount Pictures
184,tt0808151,Columbia Pictures
185,tt0332452,Warner Bros.
186,tt0938283,Paramount Pictures
187,tt0389790,Paramount Pictures
188,tt0436339,Walt Disney Studios Motion Pictures
189,tt0397892,Walt Disney Studios Motion Pictures
190,tt1646987,Warner Bros.
191,tt0442933,Paramount Pictures
192,tt1077368,Warner Bros.
193,tt2334879,Columbia Pictures
194,tt0780653,Universal Pictures
195,tt2034800,Universal Pictures
196,tt3332064,Warner Bros.
197,tt1305591,Walt Disney Studios Motion Pictures
198,tt6304710,
199,tt0424095,Paramount Pictures
200,tt1277953,Paramount Pictures
201,tt1229238,Paramount Pictures
